width,height,trans_x,trans_y,rotation
0.002,0.00173205,0,0,0
0.001,0.01,0,0.00586603,0
0.001,0.01,-0.00508013,0.00293301,1.0472
0.001,0.01,-0.00508013,-0.00293301,2.0944
0.001,0.01,-7.18381e-19,-0.00586603,3.14159
0.001,0.01,0.00508013,-0.00293301,4.18879
0.001,0.01,0.00508013,0.00293301,5.23599
0.0006,0.001,0.000847135,0.00283453,-1.1781
0.0006,0.001,-0.000847135,0.00283453,1.1781
0.0006,0.001,-0.00203121,0.00215091,-0.1309
0.0006,0.001,-0.00287834,0.000683625,2.22529
0.0006,0.001,-0.00287834,-0.000683625,0.916298
0.0006,0.001,-0.00203121,-0.00215091,3.27249
0.0006,0.001,-0.000847135,-0.00283453,1.9635
0.0006,0.001,0.000847135,-0.00283453,4.31969
0.0006,0.001,0.00203121,-0.00215091,3.01069
0.0006,0.001,0.00287834,-0.000683625,5.36689
0.0006,0.001,0.00287834,0.000683625,4.05789
0.0006,0.001,0.00203121,0.00215091,6.41409
0.0006,0.002,0.00130907,0.00432587,-1.1781
0.0006,0.002,-0.00130907,0.00432587,1.1781
0.0006,0.002,-0.00309178,0.00329663,-0.1309
0.0006,0.002,-0.00440085,0.00102924,2.22529
0.0006,0.002,-0.00440085,-0.00102924,0.916298
0.0006,0.002,-0.00309178,-0.00329663,3.27249
0.0006,0.002,-0.00130907,-0.00432587,1.9635
0.0006,0.002,0.00130907,-0.00432587,4.31969
0.0006,0.002,0.00309178,-0.00329663,3.01069
0.0006,0.002,0.00440085,-0.00102924,5.36689
0.0006,0.002,0.00440085,0.00102924,4.05789
0.0006,0.002,0.00309178,0.00329663,6.41409
0.0006,0.003,0.00177101,0.00581721,-1.1781
0.0006,0.003,-0.00177101,0.00581721,1.1781
0.0006,0.003,-0.00415235,0.00444235,-0.1309
0.0006,0.003,-0.00592336,0.00137486,2.22529
0.0006,0.003,-0.00592336,-0.00137486,0.916298
0.0006,0.003,-0.00415235,-0.00444235,3.27249
0.0006,0.003,-0.00177101,-0.00581721,1.9635
0.0006,0.003,0.00177101,-0.00581721,4.31969
0.0006,0.003,0.00415235,-0.00444235,3.01069
0.0006,0.003,0.00592336,-0.00137486,5.36689
0.0006,0.003,0.00592336,0.00137486,4.05789
0.0006,0.003,0.00415235,0.00444235,6.41409
0.0006,0.003,0.00177101,0.00711721,-1.1781
0.0006,0.003,-0.00177101,0.00711721,1.1781
0.0006,0.003,-0.00527818,0.00509235,-0.1309
0.0006,0.003,-0.0070492,0.00202486,2.22529
0.0006,0.003,-0.0070492,-0.00202486,0.916298
0.0006,0.003,-0.00527818,-0.00509235,3.27249
0.0006,0.003,-0.00177101,-0.00711721,1.9635
0.0006,0.003,0.00177101,-0.00711721,4.31969
0.0006,0.003,0.00527818,-0.00509235,3.01069
0.0006,0.003,0.0070492,-0.00202486,5.36689
0.0006,0.003,0.0070492,0.00202486,4.05789
0.0006,0.003,0.00527818,0.00509235,6.41409
0.0006,0.002,0.00130907,0.00822587,-1.1781
0.0006,0.002,-0.00130907,0.00822587,1.1781
0.0006,0.002,-0.00646928,0.00524663,-0.1309
0.0006,0.002,-0.00777835,0.00297924,2.22529
0.0006,0.002,-0.00777835,-0.00297924,0.916298
0.0006,0.002,-0.00646928,-0.00524663,3.27249
0.0006,0.002,-0.00130907,-0.00822587,1.9635
0.0006,0.002,0.00130907,-0.00822587,4.31969
0.0006,0.002,0.00646928,-0.00524663,3.01069
0.0006,0.002,0.00777835,-0.00297924,5.36689
0.0006,0.002,0.00777835,0.00297924,4.05789
0.0006,0.002,0.00646928,0.00524663,6.41409
0.0006,0.001,0.000847135,0.00933453,-1.1781
0.0006,0.001,-0.000847135,0.00933453,1.1781
0.0006,0.001,-0.00766037,0.00540091,-0.1309
0.0006,0.001,-0.00850751,0.00393363,2.22529
0.0006,0.001,-0.00850751,-0.00393363,0.916298
0.0006,0.001,-0.00766037,-0.00540091,3.27249
0.0006,0.001,-0.000847135,-0.00933453,1.9635
0.0006,0.001,0.000847135,-0.00933453,4.31969
0.0006,0.001,0.00766037,-0.00540091,3.01069
0.0006,0.001,0.00850751,-0.00393363,5.36689
0.0006,0.001,0.00850751,0.00393363,4.05789
0.0006,0.001,0.00766037,0.00540091,6.41409
